slope,intercept,range
0,0.010430261912833859,-1.268362095015291,0.05333333333333334
1,0.062267866819185065,-2.339437903213708,0.08666666666666667
2,0.017303280398187033,-1.581393915302699,0.05333333333333334
3,0.03378875900901369,-2.0285103520490164,0.05333333333333334
4,0.0577622650466621,-2.241811240729394,0.05333333333333334
5,0.10267864010771932,-2.922697013270642,0.08666666666666667
6,0.04898222207517655,-2.109769822513722,0.08666666666666667
7,0.19982460606653085,-4.845101893335703,0.08666666666666667
8,0.0778591031147361,-1.8436928616465709,0.05333333333333334
9,0.08143761930532022,-1.8474080559182915,0.07666666666666667
10,0.1320100087041508,-2.472297120179381,0.07333333333333333
11,0.21267049605213567,-3.1508600916697733,0.18000000000000002
12,0.032388165815981924,-0.2704603972136471,0.10000000000000002
13,0.12802713088765916,-0.8806787993401166,0.11
14,0.19702322183328208,-2.69764773465514,0.10333333333333333
15,0.1428998690076605,-1.2645083375381831,0.4033333333333333
16,0.11041688300676578,-0.622400129535688,0.06999999999999999
17,0.12430457306480974,-2.1409856485309295,0.006666666666666667
18,0.08049552686000132,0.4188158770761956,0.9900000000000001
19,0.0746740020463863,0.5436963221586388,0.8766666666666668
20,0.10877050258487558,-0.1756403440941059,0.34
21,0.103846857038668,0.16223605921811246,0.06666666666666667
22,0.08098838191908046,-0.6057898468133754,0.07666666666666666
23,0.054289540346614755,-1.050003835756558,0.09666666666666668
24,0.09300033594833157,-1.075818377200276,0.39666666666666667
25,0.17846444356557012,-2.629742237739743,0.05333333333333334
26,0.1654510493359633,-2.541447825398208,0.03333333333333333
27,0.06702514078211838,0.7350801904514068,0.03
28,0.0666210995865666,0.739928684798028,0.09999999999999999
29,0.18275840501269636,-1.9448245686488161,0.09000000000000001
30,0.11418401861402219,-0.5493721111642287,0.11
31,0.12231561628092279,-1.264042709343054,0.15
32,0.09023866097499754,-0.24300955955208692,0.11666666666666665
33,0.028360483828100243,-0.5410625344598173,0.09333333333333334
